aa,98
ab,3515
ac,8568
ad,10475
ae,1032
af,2273
ag,5276
ah,356
ai,10859
aj,426
ak,6953
al,22829
am,9523
an,61317
ao,69
ap,3556
aq,135
ar,34997
as,20679
at,36902
au,4091
av,10804
aw,2690
ax,255
ay,11484
az,321
ba,4641
bb,391
bc,2
bd,47
be,20884
bf,0
bg,3
bh,74
bi,2351
bj,248
bk,2
bl,5839
bm,29
bn,9
bo,5624
bp,0
bq,0
br,5730
bs,597
bt,397
bu,9528
bv,2
bw,15
bx,0
by,5013
bz,0
ca,10354
cb,291
cc,785
cd,118
ce,17095
cf,0
cg,0
ch,16166
ci,3807
cj,0
ck,5142
cl,3713
cm,12
cn,2
co,18058
cp,0
cq,124
cr,3012
cs,44
ct,4734
cu,2856
cv,0
cw,0
cx,1
cy,799
cz,0
da,5369
db,10
dc,26
dd,774
de,16791
df,204
dg,882
dh,20
di,10320
dj,17
dk,44
dl,1017
dm,400
dn,402
do,11177
dp,21
dq,0
dr,3179
ds,5787
dt,14
du,2868
dv,415
dw,498
dx,0
dy,2403
dz,0
ea,27868
eb,781
ec,6425
ed,14924
ee,17164
ef,3779
eg,2051
eh,668
ei,5440
ej,55
ek,728
el,17603
em,8449
en,39592
eo,1633
ep,3950
eq,386
er,59039
es,33458
et,15496
eu,1938
ev,5425
ew,2631
ex,4246
ey,5294
ez,84
fa,7755
fb,0
fc,1
fd,0
fe,6861
ff,3698
fg,0
fh,0
fi,5639
fj,0
fk,0
fl,2101
fm,0
fn,4
fo,17577
fp,10
fq,0
fr,6043
fs,134
ft,1884
fu,2333
fv,0
fw,2
fx,0
fy,170
fz,0
ga,4083
gb,224
gc,0
gd,127
ge,9655
gf,12
gg,515
gh,9321
gi,3233
gj,0
gk,0
gl,2526
gm,209
gn,1067
go,8847
gp,4
gq,0
gr,5499
gs,1674
gt,201
gu,2753
gv,0
gw,3
gx,0
gy,109
gz,0
ha,44362
hb,190
hc,24
hd,47
he,83251
hf,144
hg,2
hh,16
hi,32979
hj,0
hk,0
hl,193
hm,296
hn,781
ho,24215
hp,6
hq,7
hr,2122
hs,660
ht,6335
hu,3199
hv,3
hw,73
hx,0
hy,6451
hz,0
ia,5927
ib,2076
ic,10210
id,7299
ie,10372
if,6384
ig,6937
ih,22
ii,523
ij,0
ik,2391
il,15542
im,10124
in,54012
io,9980
ip,2045
iq,81
ir,12011
is,36954
it,29674
iu,2523
iv,5648
iw,34
ix,453
iy,0
iz,709
ja,476
jb,0
jc,0
jd,0
je,1475
jf,0
jg,0
jh,0
ji,13
jj,0
jk,0
jl,0
jm,0
jn,0
jo,1401
jp,0
jq,0
jr,0
js,0
jt,0
ju,1490
jv,0
jw,0
jx,0
jy,0
jz,0
ka,442
kb,10
kc,1
kd,0
ke,10850
kf,58
kg,0
kh,8
ki,6001
kj,0
kk,0
kl,453
km,15
kn,3670
ko,112
kp,2
kq,0
kr,25
ks,1919
kt,4
ku,21
kv,1
kw,31
kx,0
ky,95
kz,0
la,12763
lb,403
lc,659
ld,10685
le,24382
lf,2568
lg,72
lh,6
li,15107
lj,0
lk,1026
ll,31226
lm,546
ln,67
lo,19538
lp,687
lq,1
lr,162
ls,3323
lt,2406
lu,3241
lv,1011
lw,78
lx,0
ly,6817
lz,3
ma,18568
mb,2573
mc,1
md,0
me,28283
mf,296
mg,1
mh,7
mi,7629
mj,0
mk,0
ml,165
mm,1724
mn,562
mo,10328
mp,3647
mq,0
mr,226
ms,1756
mt,24
mu,3967
mv,9
mw,51
mx,0
my,13418
mz,0
na,5804
nb,487
nc,10119
nd,44668
ne,20543
nf,1209
ng,23854
nh,227
ni,6687
nj,305
nk,2959
nl,1372
nm,262
nn,2119
no,26342
np,105
nq,305
nr,771
ns,8151
nt,21431
nu,1188
nv,539
nw,224
nx,4
ny,3073
nz,169
oa,1692
ob,2170
oc,2026
od,7065
oe,1271
of,20733
og,1091
oh,840
oi,2385
oj,346
ok,2704
ol,10389
om,16487
on,33833
oo,11644
op,3721
oq,21
or,40855
os,7964
ot,19045
ou,55632
ov,5793
ow,17381
ox,263
oy,1737
oz,134
pa,7463
pb,24
pc,25
pd,4
pe,10715
pf,13
pg,10
ph,2062
pi,3855
pj,0
pk,21
pl,4611
pm,15
pn,3
po,7398
pp,2092
pq,0
pr,9823
ps,895
pt,1525
pu,2257
pv,1
pw,26
px,0
py,678
pz,0
qa,0
qb,0
qc,0
qd,0
qe,0
qf,0
qg,0
qh,0
qi,0
qj,0
qk,0
ql,0
qm,0
qn,0
qo,0
qp,0
qq,0
qr,0
qs,0
qt,0
qu,3593
qv,0
qw,0
qx,0
qy,0
qz,0
ra,13992
rb,755
rc,3008
rd,11724
re,44693
rf,876
rg,2429
rh,197
ri,17203
rj,60
rk,2132
rl,2663
rm,3006
rn,3771
ro,19696
rp,833
rq,29
rr,3817
rs,12485
rt,11229
ru,5322
rv,2176
rw,689
rx,0
ry,5956
rz,2
sa,8172
sb,724
sc,3395
sd,471
se,25980
sf,185
sg,165
sh,15959
si,12796
sj,7
sk,666
sl,1845
sm,818
sn,225
so,13931
sp,5718
sq,104
sr,38
ss,10136
st,32280
su,6457
sv,2
sw,3081
sx,0
sy,704
sz,0
ta,10494
tb,29
tc,1447
td,5
te,25217
tf,140
tg,23
th,113718
ti,16153
tj,22
tk,0
tl,3535
tm,258
tn,369
to,29564
tp,34
tq,0
tr,11150
ts,4890
tt,4333
tu,4818
tv,1
tw,1975
tx,2
ty,4011
tz,40
ua,1182
ub,1386
uc,6384
ud,2141
ue,4937
uf,922
ug,4091
uh,0
ui,2135
uj,1
uk,1217
ul,9890
um,2897
un,11197
uo,355
up,3896
uq,0
ur,23157
us,19054
ut,14335
uu,4
uv,18
uw,0
ux,48
uy,122
uz,33
va,2370
vb,0
vc,0
vd,0
ve,26177
vf,0
vg,0
vh,0
vi,5829
vj,0
vk,0
vl,2
vm,0
vn,0
vo,1732
vp,0
vq,0
vr,6
vs,0
vt,0
vu,54
vv,0
vw,0
vx,0
vy,352
vz,0
wa,9163
wb,80
wc,5
wd,171
we,14285
wf,90
wg,4
wh,16625
wi,19896
wj,0
wk,28
wl,347
wm,9
wn,3835
wo,9621
wp,1
wq,0
wr,1259
ws,1596
wt,33
wu,4
wv,0
ww,23
wx,0
wy,30
wz,0
xa,217
xb,0
xc,533
xd,0
xe,1473
xf,57
xg,0
xh,25
xi,1104
xj,0
xk,0
xl,4
xm,1
xn,0
xo,10
xp,362
xq,12
xr,0
xs,3
xt,847
xu,20
xv,1
xw,0
xx,0
xy,5
xz,0
ya,492
yb,98
yc,93
yd,24
ye,4283
yf,46
yg,16
yh,15
yi,605
yj,0
yk,3
yl,172
ym,445
yn,48
yo,23125
yp,138
yq,0
yr,792
ys,2302
yt,210
yu,0
yv,9
yw,48
yx,3
yy,0
yz,1
za,322
zb,0
zc,0
zd,0
ze,782
zf,0
zg,0
zh,0
zi,54
zj,0
zk,0
zl,25
zm,0
zn,0
zo,139
zp,0
zq,0
zr,0
zs,0
zt,0
zu,7
zv,4
zw,13
zx,0
zy,30
zz,55
